ID,Station Name,Access,Owner,Last_Used,Open_Date,DC_Fast,Level1_Charging,Level2_Charging,Address,City,State,Zipcode,Latitude,Longitude,Pricing,Connection_Type
102786,Rankin Upholstery,public,Non-Networked,2022-11-10,2018-09-01,,,2.0,8021 Cessna Ave,Gaithersburg,MD,20879,39.172762,-77.164172,Free,J1772
103027,GEORGE MASON U MASON POND 1,public,ChargePoint Network,2024-10-10,2018-09-19,,,2.0,Mason Pond Parking Deck,Fairfax,VA,22030,38.830197,-77.309412,,J1772
103545,STATION 1 STATION 1,public,ChargePoint Network,2024-10-10,2018-09-26,,,2.0,Cattail Ln,Centreville,VA,20121,38.831622,-77.440902,,J1772
103807,City of Hyattsville - Department of Public Works,public,Non-Networked,2022-11-10,2018-09-26,,,2.0,4633 Arundel Pl,Hyattsville,MD,20781,38.946661,-76.939889,Free,J1772
103863,MTA METRO MILFORD,public,ChargePoint Network,2024-10-10,2018-10-04,,,2.0,Roman Frasier Ln,Pikesville,MD,21208,39.359215,-76.721186,,J1772
104022,Prince George's County - Department of Public Safety,public,Non-Networked,2022-11-10,2018-10-01,,,2.0,17321 Melford Blvd,Bowie,MD,20715,38.957733,-76.704338,,J1772
104023,Edmonston - Police Department,public,Non-Networked,2022-11-10,2018-10-01,,,2.0,5005 52nd Ave,Edmonston,MD,21230,38.949948,-76.929833,,J1772
104138,Maryland House Travel Plaza,public,Non-Networked,2022-11-10,2018-10-01,6.0,,1.0,"I-95, Mile Marker 82",Aberdeen,MD,21001,39.498059,-76.231826,Free,CHADEMO
104177,Verizon,private,Non-Networked,2024-04-14,2017-11-09,,,8.0,13101 Columbia Pike,Silver Spring,MD,20904,39.0704416,-76.9579316,,J1772
104284,CARR PROPERTIES P2 6540,public,ChargePoint Network,2024-10-10,2018-10-20,,,2.0,1100 15th St NW,Washington,DC,20005,38.903985,-77.034961,,J1772
104305,Downunder Garage,public,Non-Networked,2022-11-10,2018-10-16,,,4.0,110 W Lombard St,Baltimore,MD,21201,39.287861,-76.616633,,J1772
104335,One Light Street,public,Non-Networked,2022-11-10,2018-10-22,,,2.0,1 Light St,Baltimore,MD,21201,39.289496,-76.613588,,J1772
104577,PGCMLS NC LIBRARY 1,public,ChargePoint Network,2024-10-10,2018-11-08,,,2.0,7414 Riverdale Rd,New Carrollton,MD,20784,38.962374,-76.882474,,J1772
104687,THE HOTEL AT AP STATION 3,public,ChargePoint Network,2024-10-10,2018-11-14,,,2.0,7787 Arundel Mills Blvd,Hanover,MD,21076,39.152958,-76.743689,,J1772
104694,CAMBRIA AT CP 8321 BALTIMORE,public,ChargePoint Network,2024-10-10,2018-11-14,,,2.0,8321 Baltimore Ave,College Park,MD,20740,38.992716,-76.932043,,J1772
104802,THE HOTEL UMD STATION 1 GW,public,ChargePoint Network,2024-10-10,2018-11-20,,,2.0,7761 Diamondback Drive,College Park,MD,20742,38.986141,-76.934977,,J1772
104803,THE HOTEL UMD STATION 2,public,ChargePoint Network,2024-10-10,2018-11-20,,,2.0,Hotel Drive,College Park,MD,20740,38.986137,-76.934953,,J1772
104818,Lexington Market,public,Non-Networked,2022-11-10,2018-11-15,,,4.0,400 W Lexington St,Baltimore,MD,21201,39.291633,-76.622509,Free,J1772
104894,NED STAPLES MILL 1,public,ChargePoint Network,2024-10-10,2018-11-22,,,2.0,5401 Staples Mill Rd,Richmond,VA,23228,37.60147,-77.489671,,J1772
104976,Landover Hills - Police Station and Town Hall,public,Non-Networked,2022-11-10,2018-11-20,,,2.0,6904 Taylor St,Landover Hills,MD,20784,38.941542,-76.894218,Free,J1772
