Fuel Type Code,Station Name,Street Address,City,ZIP,EV Connector Types,EV Pricing,Latitude,Longitude,Access Code,State
ELEC,1900 L Street,1900 L Street NW,Washington,20036,J1772,$1.50/Hr Parking Fee,38.903492,-77.043903,public,DC
ELEC,1020 19th Street,1020 19th Street NW,Washington,20036,J1772,$1.50/Hr Parking Fee,38.903147,-77.043825,public,DC
ELEC,Eleven Hundred Connecticut Avenue,1100 Connecticut Avenue Northwest,Washington,20036,J1772,$1.00/Hr Parking Fee,38.9039725,-77.0405507,public,DC
ELEC,"531706  1667 K Street, NW",1667 K Street Northwest,Washington,20006,J1772,$0.00-$10.00/Hr Variable Parking Fee,38.9030183,-77.0381339,public,DC
ELEC,"531705  1331 F Street, NW",1331 F Street Northwest,Washington,20004,J1772,$0.00-$10.00/Hr Variable Parking Fee,38.897643,-77.0309368,public,DC
ELEC,"10 G Street, NE","10 G St, NE",Washington,20002,J1772,$0.00-$5.00/Hr Variable Parking Fee,38.8998373,-77.0071072,public,DC
ELEC,"APA 750 First St, NE","750 First St, NE",Washington,20002,J1772,$0.00-$5.00/Hr Variable Parking Fee,38.8998373,-77.0071072,public,DC
ELEC,Lexington/Market Sq Parking Garage,401 9th St NW & D St NW,Washington,20004,J1772,$1.00-$5.00/Hr Variable Parking Fee,38.89475995,-77.02395767,public,DC
ELEC,122 C Street,122 C Street NW,Washington,20001,J1772,$1.50/Hr Parking Fee,38.893317,-77.013021,public,DC
ELEC,Central Parking - 101 Constitution,101 Constitution Avenue Northwest,Washington,20001,J1772,FREE,38.8926815,-77.0131214,public,DC
ELEC,375 - Patriots Plaza,375 E Street Southwest,Washington,20024,J1772,FREE,38.8840361,-77.0169844,public,DC
ELEC,355 - Patriots Plaza,355 E Street Southwest,Washington,20024,J1772,FREE,38.8837304,-77.0165323,public,DC
ELEC,Hyatt Washington DC North Mall,400 E Street Southwest,Washington,20024,J1772,FREE,38.8829816,-77.0180331,public,DC
ELEC,SQUARE 54,2200 Pennsylvania Ave NW,Washington,20037,J1772,"$1.00-$5.00/Hr Variable Parking Fee, $0.22/kWh Energy Fee",38.9017929,-77.0493245,public,DC
ELEC,"Lenkin 1133A, Lenkin 1133B",1133 Connecticut Avenue Northwest,Washington,20036,J1772,$1.00/Hr Parking Fee,38.9049056,-77.0401315,public,DC
ELEC,"Lenkin 1050A, Lenkin 1050B",1050 K Street Northwest,Washington,20001,J1772,$1.00/Hr Parking Fee,38.9021405,-77.0267154,public,DC
ELEC,Rosewood Washington D.C. - Tesla Destination,1050 31st Street NW,Washington,20007,TESLA,Free,38.903912,-77.061216,public,DC
ELEC,"Capella Washington, D.C. - Tesla Destination",1050 31st St NW,Washington,20007,J1772 TESLA,Free,38.904031,-77.061463,public,DC
ELEC,1501 New York Ave NE - Tesla Destination,1501 New York Ave NE,Washington,20002,J1772 TESLA,Free,38.915614,-76.983038,public,DC
ELEC,Columbia Center - Tesla Destination,1152 15th St NW,Washington,20005,TESLA,Free,38.90493,-77.035048,public,DC
ELEC,1875 K Street - Tesla Destination,1875 K St NW,Washington,20036,TESLA,Free,38.902991,-77.043045,public,DC
ELEC,1700 New York Avenue - Tesla Destination,1700 New York Ave,Washington,20006,J1772 TESLA,Free,38.896069,-77.040275,public,DC
ELEC,531714 - 799 9th Street,"799 9th Street NW, Suite 102",Washington,20001,J1772,$0.00-$10.00/Hr Variable Parking Fee,38.899515,-77.023468,public,DC
ELEC,Lincoln Square - 555 11th Street NW,555 11th Street Northwest,Washington,20004,J1772,FREE,38.8967861,-77.0264518,public,DC
ELEC,Parcel O at the Yards,1346 4th St SE,Washington,20003,J1772,Free,38.873894,-77.000066,public,DC
ELEC,Whole Foods - DC,965 Florida Ave NW,Washington,20001,J1772,Free,38.919526,-77.024665,public,DC
ELEC,JBG - The Foundry,1055 Thomas Jefferson St NW,Washington,20007,J1772,Free,38.903686,-77.059528,public,DC
ELEC,20 M St. Parking,20 M St. SE,Washington,20003,J1772,Free,38.876829,-77.007855,public,DC
ELEC,500 LEnfant Plaza,500 L'Enfant Plaza SW,Washington,20024,J1772,Free,38.883395,-77.0234,public,DC
ELEC,JBG 2101 L Street - B1,2101 L Street,Washington,20037,J1772,Free,38.90394,-77.04772,public,DC
ELEC,City Center Hines,870 9th Street Northwest,Washington,20001,J1772,$0.00-$5.00/Hr Variable Parking Fee,38.9005843,-77.0244732,public,DC
ELEC,"The Residences at the Ritz-Carlton, Washington D.C. - Tesla Destination",1111 23rd St,Washington,20037,TESLA,Free,38.904875,-77.050069,public,DC
ELEC,"The Ritz-Carlton, Georgetown - Tesla Destination",3100 South Street NW,Washington,20007,TESLA,Free,38.903413,-77.061943,public,DC
ELEC,FMS2,2796 Mitcher Rd SW,Anacostia Naval Station,20373,J1772,Free,38.858158,-77.011997,private,DC
ELEC,FAA - Headquarters Office Building (HDQ 10A),800 Independence Ave SW,Washington,20591,J1772,Free,38.88691383,-77.02269937,private,DC
ELEC,GSA FLEET / WESTCTYARD,501-555 19th St NW,Washington,20036,J1772,Free,38.896008,-77.043471,private,DC
ELEC,OPM Motor Pool,1900 E St NW,Washington,20415,J1772,Free,38.8948,-77.0369,private,DC
ELEC,US MINT,801 9th St NW,Washington,20001,J1772,$0.12 per kWh,38.900627,-77.023611,private,DC
ELEC,BEP #2,201-301 14th St SW,Washington,20024,J1772,$0.30 per kWh,38.885703,-77.032041,private,DC
ELEC,395 - Patriots Plaza,395 E Street Southwest,Washington,20024,J1772,FREE,38.8835524,-77.0171795,public,DC
ELEC,4801 Connecticut Apartments,4801 Connecticut Avenue Northwest,Washington,20008,J1772,"$0.00-$4.00/Hr Variable Parking Fee, $0.25/kWh Energy Fee",38.9342066,-77.0577025,public,DC
ELEC,Heyday Properties,1501 M St NW,Washington,20005,J1772,Free,38.906076,-77.034846,public,DC
ELEC,Days Inn Connecticut Ave,4400 Connecticut Ave NW,Washington,20008,J1772,FREE,38.94693,-77.065639,public,DC
ELEC,Conrad Washington DC,950 New York Avenue Northwest,Washington,20001,J1772,$0.25/kWh Energy Fee,38.901306,-77.0255817,public,DC
ELEC,SP Plus - 1101 Vermont Ave,1101 Vermont Ave NW,Washington,20005,J1772,Free,38.903956,-77.032354,public,DC
ELEC,1701 Rhode Island Inc.,1701 Rhode Island Avenue Northwest,Washington,20036,J1772,FREE,38.9067117,-77.0387573,public,DC
ELEC,The Savoy Apartments,2101 L Street,Washington,20037,J1772,Free,38.90394,-77.04772,public,DC
ELEC,500 E Street SW,500 E Street Southwest,Washington,20024,J1772,"$1.50/Hr Parking Fee , $0.25/kWh Energy Fee",38.8829566,-77.0190848,public,DC
ELEC,Washington Square - Central Parking,1050 Connecticut Ave NW,Washington,20036,J1772,Free,38.903332,-77.04045,public,DC
ELEC,1331,1331 Maryland Avenue Southwest,Washington,20024,J1772,FREE,38.8840965,-77.0310022,public,DC
ELEC,District Wharf Parking Garage - Public Access on P1,1000 Maine,Washington,20024,J1772,FREE,38.8807429,-77.0266704,public,DC
