ID,Station_Name,Access,Owner,Last_Used,Open_Date,DC_Fast,Level1_Charging,Level2_Charging,Address,City,State,Zipcode,Latitude,Longitude,Pricing,Connection_Type
0,ECHELON AT ODEN NOVUS ODENTON,public,ChargePoint Network,2024-10-10,2018-08-09,0,0,2,313 Nevada Ave,Odenton,MD,21113,39.092476,-76.709341,,J1772
1,Laureate Education Inc,public,Non-Networked,2022-11-10,2018-08-08,0,0,4,7065 Samuel Morse Dr,Columbia,MD,21046,39.168759,-76.811733,Free,J1772
2,Mercy Medical Center - Bunting Garage,public,Non-Networked,2022-11-10,2018-08-08,0,0,4,301 Saint Paul Pl,Baltimore,MD,21202,39.29255,-76.61355,Free,J1772
3,GARAGE C #1 GARAGE A LVL 1C,public,ChargePoint Network,2024-10-10,2018-08-22,0,0,2,5 Airport Parking Dep Rd,Norfolk,VA,23518,36.899599,-76.206422,,J1772
4,GARAGE C #1 GARAGE A LVL 1B,public,ChargePoint Network,2024-10-10,2018-08-22,0,0,2,31 Airport Parking Dep Rd,Norfolk,VA,23518,36.899734,-76.206656,,J1772
5,Inter Sign National,private,Non-Networked,2023-10-12,2018-07-18,0,0,1,1123 E Baltimore St,Baltimore,MD,21201,39.290886,-76.600847,,J1772
6,Maryland House Travel Plaza - Tesla Supercharger,public,Tesla,2024-07-01,2018-07-23,8,0,0,I-95,Aberdeen,MD,21001,39.497944,-76.230931,,TESLA
7,Rio Washingtonian Center - Tesla Supercharger,public,Tesla,2024-07-01,2018-07-23,12,0,0,9811 Washingtonian Blvd.,Gaithersburg,MD,20878,39.118193,-77.20231,,TESLA
8,Royal Farms - Tesla Supercharger,public,Tesla,2024-07-01,2018-07-23,12,0,0,108 Jackson Creek Road,Grasonville,MD,21638,38.965729,-76.220938,,TESLA
9,Hagerstown Premium Outlets - Tesla Supercharger,public,Tesla,2024-07-01,2014-01-01,6,0,0,495 Premium Outlets Blvd,Hagerstown,MD,21740,39.605859,-77.733324,,TESLA
10,Sheetz - Tesla Supercharger,public,Tesla,2024-07-01,2018-07-23,8,0,0,11601 Winchester Road,La Vale,MD,21502,39.636287,-78.845731,,TESLA
11,Towne Center at Laurel - Tesla Supercharger,public,Tesla,2024-07-01,2016-10-01,8,0,0,14700 Baltimore Ave,Laurel,MD,20707,39.095382,-76.858319,,TESLA
12,Chesapeake House Travel Plaza - Tesla Supercharger,public,Tesla,2024-07-01,2018-07-23,10,0,0,John F Kennedy Memorial Hwy,North East,MD,21901,39.61224,-76.00878,,TESLA
13,The Centre at Salisbury - Tesla Supercharger,public,Tesla,2024-07-01,2015-01-01,6,0,0,2300 North Salisbury Blvd.,Salisbury,MD,21801,38.4016,-75.56489,,TESLA
14,The Shops at Stonefield - Tesla Supercharger,public,Tesla,2024-07-01,2018-07-23,8,0,0,2100 Hydraulic Road,Charlottesville,VA,22901,38.067294,-78.493075,,TESLA
15,Wawa - Tesla Supercharger,public,Tesla,2024-07-01,2017-09-26,8,0,0,11701 Jefferson Davis Highway,Chester,VA,23831,37.367264,-77.416961,,TESLA
16,Wawa - Tesla Supercharger,public,Tesla,2024-07-01,2018-07-23,8,0,0,10060 Jefferson Davis Highway,Fredericksburg,VA,22407,38.225925,-77.506129,,TESLA
17,Creeks at Virginia Center - Tesla Supercharger,public,Tesla,2024-07-01,2013-10-24,20,0,0,9950 Brook Rd,Glen Allen,VA,23059,37.66976,-77.461414,,TESLA
18,Holiday Inn Express Lexington - Tesla Supercharger,public,Tesla,2024-07-01,2015-12-01,6,0,0,880 N Lee Hwy,Lexington,VA,24450,37.796979,-79.419007,,TESLA
19,Sheetz - Tesla Supercharger,public,Tesla,2024-07-01,2017-12-19,8,0,0,227 Conicville Rd,Mt. Jackson,VA,22842,38.760227,-78.63121,,TESLA
20,JANAF Shopping Yard - Tesla Supercharger,public,Tesla,2024-07-01,2015-12-01,6,0,0,5900 E Virginia Beach Blvd,Norfolk,VA,23502,36.860525,-76.207467,,TESLA
21,White Oak Village - Tesla Supercharger,public,Tesla,2024-07-01,2017-12-21,18,0,0,4441 S Laburnum Ave,Richmond,VA,23231,37.52979,-77.353906,,TESLA
22,Kahill's Restaurant - Tesla Supercharger,public,Tesla,2024-07-01,2014-08-01,6,0,0,1791 North Mecklenburg Avenue,South Hill,VA,23950,36.748516,-78.103517,,TESLA
23,Springfield Town Center - Tesla Supercharger,public,Tesla,2024-07-01,2018-07-23,20,0,0,6500 Springfield Mall,Springfield,VA,22150,38.77633,-77.17595,,TESLA
24,Strasburg Denny's - Tesla Supercharger,public,Tesla,2024-07-01,2015-07-01,6,0,0,119 Hite Lane,Strasburg,VA,22657,39.00496,-78.337848,,TESLA
25,Potomac Mills - Tesla Supercharger,public,Tesla,2024-07-01,2014-05-01,10,0,0,2700 Potomac Mills Circle,Woodbridge,VA,22192,38.64082,-77.29633,,TESLA
26,Holiday Inn Express & Suites Wytheville - Tesla Supercharger,public,Tesla,2024-07-01,2015-12-01,6,0,0,165 Malin Drive,Wytheville,VA,24382,36.945693,-81.054651,,TESLA
27,TOWER COMPANIES 1909K STATION 2,public,ChargePoint Network,2024-10-10,2018-08-31,0,0,2,1909 K St NWUS-29,Washington,DC,20006,38.903043,-77.044211,,J1772
28,MGM RESORTS INT NAT HARBOR L3S1,public,ChargePoint Network,2024-10-10,2018-09-01,0,0,2,101 MGM National Ave,Oxon Hill,MD,20745,38.795013,-77.009316,,J1772
29,Aberdeen Proving Grounds,private,Non-Networked,2022-10-11,2018-09-01,0,0,1,Susquehanna Ave,Aberdeen,MD,21005,39.480606,-76.135055,,J1772
30,CEC ST MICHAELS DT,public,ChargePoint Network,2024-10-10,2018-09-12,0,0,2,114 Freemont St,St. Michaels,MD,21663,38.785157,-76.225453,,J1772
31,BEULAH II BEULAH NG4,public,ChargePoint Network,2024-10-10,2018-09-13,0,0,1,6420 Beulah St,Alexandria,VA,22310,38.779608,-77.147005,,J1772
32,Penn Station Garage,public,Non-Networked,2023-10-12,2018-08-15,0,0,3,1500 N Charles St,Baltimore,MD,21201,39.306655,-76.616222,Free,J1772
33,Old Town - Fire Station,public,Non-Networked,2022-11-10,2018-09-01,0,0,4,1110 Hillen St,Baltimore,MD,21202,39.297285,-76.605258,Free,J1772
34,Rankin Upholstery,public,Non-Networked,2022-11-10,2018-09-01,0,0,2,8021 Cessna Ave,Gaithersburg,MD,20879,39.172762,-77.164172,Free,J1772
35,GEORGE MASON U MASON POND 1,public,ChargePoint Network,2024-10-10,2018-09-19,0,0,2,Mason Pond Parking Deck,Fairfax,VA,22030,38.830197,-77.309412,,J1772
36,STATION 1 STATION 1,public,ChargePoint Network,2024-10-10,2018-09-26,0,0,2,Cattail Ln,Centreville,VA,20121,38.831622,-77.440902,,J1772
37,City of Hyattsville - Department of Public Works,public,Non-Networked,2022-11-10,2018-09-26,0,0,2,4633 Arundel Pl,Hyattsville,MD,20781,38.946661,-76.939889,Free,J1772
38,MTA METRO MILFORD,public,ChargePoint Network,2024-10-10,2018-10-04,0,0,2,Roman Frasier Ln,Pikesville,MD,21208,39.359215,-76.721186,,J1772
39,Prince George's County - Department of Public Safety,public,Non-Networked,2022-11-10,2018-10-01,0,0,2,17321 Melford Blvd,Bowie,MD,20715,38.957733,-76.704338,,J1772
40,Edmonston - Police Department,public,Non-Networked,2022-11-10,2018-10-01,0,0,2,5005 52nd Ave,Edmonston,MD,21230,38.949948,-76.929833,,J1772
41,Maryland House Travel Plaza,public,Non-Networked,2022-11-10,2018-10-01,6,0,1,"I-95, Mile Marker 82",Aberdeen,MD,21001,39.498059,-76.231826,Free,CHADEMO
42,Verizon,private,Non-Networked,2024-04-14,2017-11-09,0,0,8,13101 Columbia Pike,Silver Spring,MD,20904,39.0704416,-76.9579316,,J1772
43,CARR PROPERTIES P2 6540,public,ChargePoint Network,2024-10-10,2018-10-20,0,0,2,1100 15th St NW,Washington,DC,20005,38.903985,-77.034961,,J1772
44,Downunder Garage,public,Non-Networked,2022-11-10,2018-10-16,0,0,4,110 W Lombard St,Baltimore,MD,21201,39.287861,-76.616633,,J1772
45,One Light Street,public,Non-Networked,2022-11-10,2018-10-22,0,0,2,1 Light St,Baltimore,MD,21201,39.289496,-76.613588,,J1772
46,PGCMLS NC LIBRARY 1,public,ChargePoint Network,2024-10-10,2018-11-08,0,0,2,7414 Riverdale Rd,New Carrollton,MD,20784,38.962374,-76.882474,,J1772
47,THE HOTEL AT AP STATION 3,public,ChargePoint Network,2024-10-10,2018-11-14,0,0,2,7787 Arundel Mills Blvd,Hanover,MD,21076,39.152958,-76.743689,,J1772
48,CAMBRIA AT CP 8321 BALTIMORE,public,ChargePoint Network,2024-10-10,2018-11-14,0,0,2,8321 Baltimore Ave,College Park,MD,20740,38.992716,-76.932043,,J1772
49,THE HOTEL UMD STATION 1 GW,public,ChargePoint Network,2024-10-10,2018-11-20,0,0,2,7761 Diamondback Drive,College Park,MD,20742,38.986141,-76.934977,,J1772
50,THE HOTEL UMD STATION 2,public,ChargePoint Network,2024-10-10,2018-11-20,0,0,2,Hotel Drive,College Park,MD,20740,38.986137,-76.934953,,J1772
51,Lexington Market,public,Non-Networked,2022-11-10,2018-11-15,0,0,4,400 W Lexington St,Baltimore,MD,21201,39.291633,-76.622509,Free,J1772
52,NED STAPLES MILL 1,public,ChargePoint Network,2024-10-10,2018-11-22,0,0,2,5401 Staples Mill Rd,Richmond,VA,23228,37.60147,-77.489671,,J1772
53,Landover Hills - Police Station and Town Hall,public,Non-Networked,2022-11-10,2018-11-20,0,0,2,6904 Taylor St,Landover Hills,MD,20784,38.941542,-76.894218,Free,J1772
54,New Quarter Park,public,UNIVERSAL,2023-01-10,2023-01-04,0,0,2,1000 Lakeshead Dr,Williamsburg,VA,23185,37.291553,-76.644064,Free,J1772
55,Arlington Mill Community Center,public,Non-Networked,2023-10-12,2018-09-30,0,0,3,909 S Dinwiddie St,Arlington,VA,22206,38.856754,-77.112304,Free,J1772
56,AMERICAN UNIV WCL STATION 2,public,ChargePoint Network,2024-10-10,2018-12-07,0,0,2,4300 Nebraska Ave NW,Washington,DC,20016,38.945542,-77.080461,,J1772
57,UNDER ARMOUR HAUBERT,public,ChargePoint Network,2024-10-10,2018-12-11,0,0,2,1125 Haubert St,Baltimore,MD,21230,39.273895,-76.592525,,J1772
58,Rotunda Parking Garage,public,Non-Networked,2022-11-10,2018-12-01,0,0,9,711 W 40th St,Baltimore,MD,21211,39.33563,-76.629666,Free,J1772
59,Owings Mills Center,private,Non-Networked,2023-09-14,2018-12-12,0,0,2,11515 Cronridge Dr,Owings Mills,MD,21117,39.438482,-76.776646,,J1772
60,Vienna Food Mart,public,Non-Networked,2022-11-10,2018-12-01,2,0,0,307 Old Ocean Gateway,Vienna,MD,21869,38.486172,-75.825191,Free,CHADEMO
61,Little Italy Garage,public,Non-Networked,2023-10-12,2018-12-01,0,0,2,400 S Central Ave,Baltimore,MD,21202,39.285911,-76.599462,Free,J1772
62,Dorchester County Public Library - Hurlock Branch,public,Non-Networked,2022-11-10,2018-12-01,0,0,2,222 S Main St,Hurlock,MD,21643,38.631284,-75.862667,Free,J1772
63,Hurlock Park - Tennis Courts,public,Non-Networked,2022-11-10,2018-12-01,0,0,2,200 Charles St,Hurlock,MD,21643,38.632842,-75.864863,Free,J1772
64,1850 Towers Crescent,public,Non-Networked,2023-01-10,2016-05-01,0,0,3,1850 Towers Crescent Plaza,Vienna,VA,22182,38.915838,-77.220807,Free; parking fee,J1772
65,Washington College,private,Non-Networked,2024-09-12,2018-11-01,0,0,4,300 Washington Ave,Chestertown,MD,21620,39.216351,-76.068383,,J1772
66,ATAPCO PROPERTY ATAPCO GARAGE 1,public,ChargePoint Network,2024-10-10,2018-12-20,0,0,1,601 N Calvert St,Baltimore,MD,21202,39.297438,-76.612611,,J1772
67,Berwyn Heights Town Hall,public,Non-Networked,2022-11-10,2018-12-01,0,0,2,5700 Berwyn Rd,Berwyn Heights,MD,20740,38.992364,-76.917261,Free,J1772
68,Hagerstown - Central Parking Lot,public,Non-Networked,2022-11-10,2018-12-01,4,0,0,14 N Potomac St,Hagerstown,MD,21740,39.642218,-77.719215,$2.50 per session; $0.20 per minute,J1772COMBO
69,Washington Plaza Hotel - Tesla Destination,public,Tesla Destination,2022-10-06,2017-12-07,0,0,18,10 Thomas Cir NW,Washington,DC,20005,38.906456,-77.031163,Free,J1772
70,Morrison-Clark Historic Inn & Restaurant - Tesla Destination,public,Tesla Destination,2022-10-06,2018-08-31,0,0,4,1011 L St NW,Washington,DC,20001,38.9043681,-77.0267268,Free,J1772
71,"The Donovan, a Kimpton Hotel - Tesla Destination",public,Tesla Destination,2022-10-06,2015-11-19,0,0,3,1155 14th St NW,Washington,DC,20005,38.904958,-77.031772,Free,J1772
72,Park Hyatt Washington - Tesla Destination,public,Tesla Destination,2022-10-06,2018-05-14,0,0,4,1201 24th St NW,Washington,DC,20037,38.9058204,-77.0512085,Free,J1772
73,Kimpton Rouge Hotel - Tesla Destination,public,Tesla Destination,2022-10-06,2015-12-11,0,0,3,1315 16th St NW,Washington,DC,20036,38.908258,-77.036037,Free,J1772
74,"Mandarin Oriental, Washington DC - Tesla Destination",public,Tesla Destination,2022-10-06,2015-01-27,0,0,2,1330 Maryland Ave SW,Washington,DC,20024,38.883828,-77.030247,Free,TESLA
75,Kimpton Mason & Rook Hotel - Tesla Destination,public,Tesla Destination,2022-10-06,2016-07-19,0,0,2,1430 Rhode Island Ave,Washington,DC,20005,38.908429,-77.033132,Free,J1772
76,The Kimpton George Hotel - Tesla Destination,public,Tesla Destination,2022-10-06,2015-11-30,0,0,2,15 E St NW,Washington,DC,20001,38.896373,-77.010017,Free,J1772
77,Courtyard Washington Embassy Row - Tesla Destination,public,Tesla Destination,2022-10-06,2016-01-25,0,0,2,1600 Rhode Island Ave NW,Washington,DC,20036,38.906641,-77.036861,Free,TESLA
78,Kimpton Carlyle Hotel - Tesla Destination,public,Tesla Destination,2022-10-06,2015-11-11,0,0,2,1731 New Hampshire Ave NW,Washington,DC,20009,38.913322,-77.039525,Free,J1772
79,One Parking 2000 K - Tesla Destination,public,Tesla Destination,2022-10-06,2018-06-12,0,0,1,2000 K St NW,Washington,DC,20006,38.9020444,-77.0453237,Free,TESLA
80,Embassy Row Hotel - Tesla Destination,public,Tesla Destination,2022-10-06,2015-10-28,0,0,4,2015 Massachusetts Ave NW,Washington,DC,20036,38.910623,-77.045745,Free,J1772
81,Atlantic Plumbing Building Parking - Tesla Destination,public,Tesla Destination,2022-10-06,2017-01-04,0,0,1,2112 8th St NW,Washington,DC,20001,38.918283,-77.023174,Free,TESLA
82,State Plaza Hotel - Tesla Destination,public,Tesla Destination,2022-10-06,2018-10-03,0,0,4,2117 E St NW,Washington,DC,20037,38.8962171,-77.047623,Free,J1772
83,Kimpton Hotel Palomar Washington DC - Tesla Destination,public,Tesla Destination,2022-10-06,2015-12-23,0,0,2,2121 P St NW,Washington,DC,20037,38.909852,-77.047399,Free,J1772
84,Avenue Suites Georgetown - Tesla Destination,public,Tesla Destination,2022-10-06,2018-04-30,0,0,4,2500 Pennsylvania Ave NW,Washington,DC,20037,38.9033344,-77.0536137,Free,TESLA
85,Kimpton Glover Park Hotel - Tesla Destination,public,Tesla Destination,2022-10-06,2016-07-19,0,0,2,2505 Wisconsin Ave NW,Washington,DC,20007,38.92336,-77.072855,Free,J1772
86,The Watergate Hotel - Tesla Destination,public,Tesla Destination,2022-10-06,2018-01-22,0,0,4,2650 Virginia Ave NW,Washington,DC,20037,38.8993596,-77.0557605,Free,TESLA
87,Four Seasons Washington D.C. - Tesla Destination,public,Tesla Destination,2022-10-06,2018-02-28,0,0,2,2800 Pennsylvania Ave NW,Washington,DC,20007,38.904437,-77.057389,Free,TESLA
88,Hyatt Regency Washington on Capitol Hill - Tesla Destination,public,Tesla Destination,2022-10-06,2016-04-19,0,0,4,400 New Jersey Ave NW,Washington,DC,20001,38.895083,-77.011283,Free,J1772
89,The Liaison Capitol Hill - Tesla Destination,public,Tesla Destination,2022-10-06,2018-04-13,0,0,4,415 New Jersey Ave NW,Washington,DC,20001,38.8954701,-77.0109949,Free,TESLA
90,Hilton Garden Inn Washington DC Downtown - Tesla Destination,public,Tesla Destination,2022-10-06,2015-12-10,0,0,2,815 14th St NW,Washington,DC,20005,38.9007011,-77.0316487,Free,TESLA
91,Embassy Suites by Hilton Convention Center - Tesla Destination,public,Tesla Destination,2022-10-06,2017-03-23,0,0,3,900 10th St NW,Washington,DC,20001,38.901937,-77.026251,Free,J1772
92,Hampton Inn Washington-Downtown-Convention Center - Tesla Destination,public,Tesla Destination,2022-10-06,2015-12-07,0,0,1,901 6th St NW,Washington,DC,20001,38.901964,-77.019837,Free,TESLA
93,Marriott Marquis Washington D.C. - Tesla Destination,public,Tesla Destination,2022-10-06,2015-12-07,0,0,3,901 Massachusetts Ave NW,Washington,DC,20001,38.903543,-77.024973,Free,J1772
94,The St. Regis Washington D.C. - Tesla Destination,public,Tesla Destination,2022-10-06,2015-10-06,0,0,1,923 16th St NW,Washington,DC,20006,38.9021295,-77.0361522,Free,TESLA
95,Inn at Horn Point - Tesla Destination,public,Tesla Destination,2022-10-06,2017-11-30,0,0,3,534  Burnside Street,Annapolis,MD,21403,38.972453,-76.4780693,Free,TESLA
96,Doubletree by Hilton Annapolis - Tesla Destination,public,Tesla Destination,2022-10-06,2016-01-25,0,0,1,210 Holiday Ct,Annapolis,MD,21401,38.982522,-76.547334,Free,TESLA
97,Hyatt Regency Baltimore - Tesla Destination,public,Tesla Destination,2022-10-06,2014-12-12,0,0,5,300 Light St,Baltimore,MD,21202,39.28462,-76.613671,Free,J1772
98,Sheraton Inner Harbor Hotel - Tesla Destination,public,Tesla Destination,2022-10-06,2016-10-28,0,0,4,300 South Charles St,Baltimore,MD,21201,39.284602,-76.61595,Free,J1772
99,Cazbar - Tesla Destination,public,Tesla Destination,2022-10-06,2015-09-28,0,0,1,316 N Charles St,Baltimore,MD,21201,39.293019,-76.615604,Free,TESLA
100,Doubletree Inn at The Colonnade - Tesla Destination,public,Tesla Destination,2022-10-06,2018-02-20,0,0,5,4 W University Pkwy,Baltimore,MD,21218,39.334176,-76.619561,Free,J1772
101,DoubleTree by Hilton Hotel Bethesda - Tesla Destination,public,Tesla Destination,2022-10-06,2017-07-25,0,0,2,8120 Wisconsin,Bethesda,MD,20814,38.991229,-77.095893,Free,J1772
102,Downtown Cambridge Black Water Baked Goods & Coffee - Tesla Destination,public,Tesla Destination,2022-10-06,2018-08-24,0,0,4,429 Race St,Cambridge,MD,21613,38.568961,-76.077521,Free,J1772
103,Great Oak Manor - Tesla Destination,public,Tesla Destination,2022-10-06,2015-11-10,0,0,2,10568 Cliff Rd,Chestertown,MD,21620,39.2687177,-76.2025573,Free,TESLA
104,Brampton Bed & Breakfast Inn - Tesla Destination,public,Tesla Destination,2022-10-06,2015-06-16,0,0,2,25227 Chestertown Rd,Chestertown,MD,21620,39.211757,-76.094796,Free,J1772
105,Hampton Inn & Suites Columbia/South MD - Tesla Destination,public,Tesla Destination,2022-10-06,2017-11-29,0,0,6,7045 Minstrel Wy,Columbia,MD,21046,39.17575,-76.846303,Free,J1772
106,SpringHill Suites by Marriott Columbia - Tesla Destination,public,Tesla Destination,2022-10-06,2017-11-29,0,0,6,7055 Minstrel Wy,Columbia,MD,21046,39.176119,-76.847247,Free,J1772
107,Ruddy Duck Brewery & Grill - Tesla Destination,public,Tesla Destination,2022-10-06,2017-07-13,0,0,3,13200 Dowell Rd,Dowell,MD,20629,38.350362,-76.457198,Free,TESLA
108,Rocky Gap Casino Resort - Tesla Destination,public,Tesla Destination,2022-10-06,2017-09-19,0,0,3,16701 Lakeview Rd NE,Flintstone,MD,21530,39.699997,-78.656806,Free,J1772
109,"Savage River Lodge, a Select Registry Property - Tesla Destination",public,Tesla Destination,2022-10-06,2015-05-26,0,0,2,1600 Mt Aetna Rd,Frostburg,MD,21532,39.65525,-79.021482,Free,J1772
110,The Cornucopia Cafe - Tesla Destination,public,Tesla Destination,2022-10-06,2015-11-12,0,0,2,146 Casselman Rd,Grantsville,MD,21536,39.697031,-79.1416,Free,J1772
111,The Narrows Restaurant - Tesla Destination,public,Tesla Destination,2022-10-06,2017-09-11,0,0,3,3023 Kent Narrow Wy S,Grasonville,MD,21638,38.968861,-76.244728,Free,TESLA
112,Hilton Garden Inn Kent Island - Tesla Destination,public,Tesla Destination,2022-10-06,2017-08-15,0,0,4,3206 Main St,Grasonville,MD,21638,38.966327,-76.240875,Free,J1772
113,Holiday Inn Express Baltimore-BWI Airport West - Tesla Destination,public,Tesla Destination,2022-10-06,2017-06-19,0,0,3,7481 Ridge Rd,Hanover,MD,21076,39.160052,-76.711847,Free,J1772
114,"Antietam Overlook Farm, a Select Registry Property - Tesla Destination",public,Tesla Destination,2022-10-06,2015-05-20,0,0,2,4812 Porterstown Rd,Keedysville,MD,21756,39.445664,-77.705295,Free,J1772
115,Black Bear Tavern and Restaurant - Tesla Destination,public,Tesla Destination,2022-10-06,2016-03-07,0,0,2,102 Fort Dr,McHenry,MD,21541,39.549596,-79.35123,Free,TESLA
116,"Lake Pointe Inn, a Select Registry Property - Tesla Destination",public,Tesla Destination,2022-10-06,2015-07-15,0,0,2,174 Lake Pointe Dr,McHenry,MD,21541,39.556658,-79.357445,Free,J1772
117,Wilcom's Inn - Tesla Destination,public,Tesla Destination,2022-10-06,2017-09-29,0,0,4,11234 Fingerboard Rd,Monrovia,MD,21770,39.346653,-77.270838,Free,J1772
118,Black Ankle Vineyards - Tesla Destination,public,Tesla Destination,2022-10-06,2017-02-03,0,0,3,14463 Black Ankle Rd,Mount Airy,MD,21771,39.46165,-77.162396,Free,TESLA
119,Port House Grill - Tesla Destination,public,Tesla Destination,2022-10-06,2016-11-04,0,0,2,15 N Main St,North East,MD,21901,39.60151,-75.943346,Free,TESLA
120,Haley Farm Inn and Retreat Center - Tesla Destination,public,Tesla Destination,2022-10-06,2016-04-01,0,0,3,16766 Garrett Hwy,Oakland,MD,21550,39.470945,-79.358778,Free,J1772
121,Ocean City Convention Center - Tesla Destination,public,Tesla Destination,2022-10-06,2016-04-28,0,0,3,4001 Coastal Hwy,Ocean City,MD,21842,38.366495,-75.071961,Free,J1772
122,Atlantic House Bed and Breakfast - Tesla Destination,public,Tesla Destination,2022-10-06,2016-03-22,0,0,1,501 N Baltimore Ave,Ocean City,MD,21842,38.336537,-75.083956,Free,TESLA
123,Holiday Inn Oceanfront - Tesla Destination,public,Tesla Destination,2022-10-06,2015-11-03,0,0,6,6600 Coastal Hwy,Ocean City,MD,21842,38.389613,-75.064479,Free,J1772
124,Princess Royale Hotel - Tesla Destination,public,Tesla Destination,2022-10-06,2016-08-12,0,0,2,9100 Coastal Hwy,Ocean City,MD,21842,38.407642,-75.058072,Free,TESLA
125,Hilton Suites Ocean City Oceanfront - Tesla Destination,public,Tesla Destination,2022-10-06,2017-03-07,0,0,2,3200 N Baltimore Ave,Ocean City,MD,21842,38.360378,-75.072756,Free,TESLA
126,Sandaway Waterfront Lodging - Tesla Destination,public,Tesla Destination,2022-10-06,2015-03-28,0,0,2,103 W Strand Rd,Oxford,MD,21654,38.692118,-76.175449,Free,J1772
127,The Inn at Antietam - Tesla Destination,public,Tesla Destination,2022-10-06,2017-06-19,0,0,2,220 E Main St,Sharpsburg,MD,21782,39.45953,-77.74285,Free,J1772
128,Chanceford Hall Bed & Breakfast - Tesla Destination,public,Tesla Destination,2022-10-06,2015-08-05,0,0,2,209 W Federal St,Snow Hill,MD,21863,38.172739,-75.396266,Free,J1772
129,George Brooks House B & B - Tesla Destination,public,Tesla Destination,2022-10-06,2017-07-17,0,0,2,24500 Rolles Range Rd,St Michaels,MD,21663,38.7970133,-76.2277961,Free,J1772
130,Old Brick Inn - Tesla Destination,public,Tesla Destination,2022-10-06,2017-10-12,0,0,2,401 S Talbot St,St. Michaels,MD,21663,38.7838128,-76.2234717,Free,J1772
131,St. Michaels Winery - Tesla Destination,public,Tesla Destination,2022-10-06,2017-09-18,0,0,1,609 S. Talbot St,St. Michaels,MD,21663,38.781182,-76.221799,Free,TESLA
132,Antrim 1844 Country House Hotel - Tesla Destination,public,Tesla Destination,2022-10-06,2015-04-23,0,0,2,30 Trevanion Rd,Taneytown,MD,21787,39.654916,-77.1730675,Free,J1772
133,Best Western Westminster - Tesla Destination,public,Tesla Destination,2022-10-06,2017-12-18,0,0,2,451 WMC Dr,Westminster,MD,21158,39.58717,-77.010051,Free,J1772
134,The Martha Washington Inn & Spa - Tesla Destination,public,Tesla Destination,2022-10-06,2016-01-26,0,0,1,150 W Main St,Abingdon,VA,24210,36.709813,-81.974954,Free,TESLA
135,Afton Mountain Bed & Breakfast - Tesla Destination,public,Tesla Destination,2022-10-06,2017-09-05,0,0,1,10273 Rockfish Valley Hwy,Afton,VA,22920,37.9827904,-78.8400318,Free,TESLA
136,Kimpton Morrison House - Tesla Destination,public,Tesla Destination,2022-10-06,2015-11-12,0,0,2,116 S Alfred St,Alexandria,VA,22314,38.804636,-77.049262,Free,J1772
137,Kimpton Lorien Hotel & Spa - Tesla Destination,public,Tesla Destination,2022-10-06,2015-12-16,0,0,2,1600 King St,Alexandria,VA,22314,38.806049,-77.056808,Free,J1772
138,Hilton Alexandria Old Town - Tesla Destination,public,Tesla Destination,2022-10-06,2016-12-13,0,0,2,1767 King St,Alexandria,VA,22314,38.807129,-77.059363,Free,TESLA
139,"The Alexandrian, Autograph Collection - Tesla Destination",public,Tesla Destination,2022-10-06,2015-11-11,0,0,2,480 King St,Alexandria,VA,22314,38.804411,-77.044697,Free,J1772
140,Sheraton Suites Old Town Alexandria - Tesla Destination,public,Tesla Destination,2022-10-06,2015-12-16,0,0,5,801 N St Asaph St,Alexandria,VA,22314,38.813023,-77.043613,Free,J1772
141,E&S Mart's Two Sisters Tap Room and Deli - Tesla Destination,public,Tesla Destination,2022-10-06,2017-04-10,0,0,4,2181 Lynch Mill Rd,Altavista,VA,24517,37.131313,-79.283927,Free,J1772
142,The Ritz-Carlton Pentagon City - Tesla Destination,public,Tesla Destination,2022-10-06,2015-10-19,0,0,3,1250 S Hayes St,Arlington,VA,22202,38.862637,-77.060346,Free,J1772
143,2311 Wilson Blvd - Tesla Destination,public,Tesla Destination,2022-10-06,2018-03-13,0,0,5,2311 Wilson Blvd,Arlington,VA,22201,38.8911312,-77.0868397,Free,J1772
144,Renaissance Arlington Capital View Hotel - Tesla Destination,public,Tesla Destination,2022-10-06,2015-06-08,0,0,3,2800 S Potomac Ave,Arlington,VA,22202,38.8474025,-77.0513855,Free,J1772
145,Bedford Welcome Center - Tesla Destination,public,Tesla Destination,2022-10-06,2018-04-26,0,0,2,816 Burks Hill Rd,Bedford,VA,24523,37.324894,-79.531374,Free,J1772
146,Peaks of Otter Lodge - Tesla Destination,public,Tesla Destination,2022-10-06,2017-06-16,0,0,2,85554 Blue Ridge Pkwy,Bedford,VA,24523,37.448296,-79.604445,Free,J1772
147,Courtyard Blacksburg - Tesla Destination,public,Tesla Destination,2022-10-06,2016-11-17,0,0,4,105 Southpark Dr,Blacksburg,VA,24060,37.199367,-80.401037,Free,J1772
148,The Grey Swan Inn Bed and Breakfast - Tesla Destination,public,Tesla Destination,2022-10-06,2017-03-24,0,0,2,615 S Main St,Blackstone,VA,23824,37.0739031,-78.000788,Free,J1772
149,"L'Auberge Provencale, a Select Registry Property - Tesla Destination",public,Tesla Destination,2022-10-06,2015-06-24,0,0,2,13630 Lord Fairfax Hwy,Boyce,VA,22620,39.0708248,-78.0936848,Free,J1772
150,Pearmund Cellars - Tesla Destination,public,Tesla Destination,2022-10-06,2015-05-05,0,0,1,6190 Georgetown Rd,Broad Run,VA,20137,38.783407,-77.739663,Free,TESLA
