ID,Station_Name,Access,Owner,Last_Used,Open_Date,DC_Fast,Level1_Charging,Level2_Charging,Address,City,State,Zipcode,Latitude,Longitude,Pricing,Connection_Type
817,Regatta Point YC,public,Blink Network,2024-10-10,2020-12-14,0,0,2,137 Neptune Lane,Deltaville,VA,23043,37.5595246,-76.3123021,"$0.90-$1.75/Hr Variable Parking Fee, $0.20/kWh Energy Fee",J1772
818,INN RICHMOND STATION 3,public,ChargePoint Network,2024-10-10,2020-12-31,0,0,2,5406 Glenside Dr,Richmond,VA,23228,37.610513,-77.516046,,J1772
819,INN RICHMOND STATION 1,public,ChargePoint Network,2024-10-10,2020-12-31,0,0,2,5416 Glenside Dr,Richmond,VA,23228,37.610584,-77.516023,,J1772
820,POTOMAC EDISON CUMBERLAND,public,ChargePoint Network,2024-10-10,2021-01-01,0,0,2,40 N Liberty St,Cumberland,MD,21502,39.652165,-78.762599,,J1772
821,POTOMAC EDISON DEEP CREEK DC1,public,ChargePoint Network,2024-10-10,2021-01-01,1,0,0,5 Vacation Way,McHenry,MD,21541,39.561786,-79.359037,,CHADEMO
822,POTOMAC EDISON HANCOCK DC 1,public,ChargePoint Network,2024-10-10,2021-01-05,1,0,0,159 W Main St,Hancock,MD,21750,39.699384,-78.183629,,CHADEMO
823,POTOMAC EDISON HANCOCK DC 2,public,ChargePoint Network,2024-10-10,2021-01-05,1,0,0,159 MD-144,Hancock,MD,21750,39.699416,-78.183656,,CHADEMO
824,BGE-Randallstown,public,SHELL_RECHARGE,2024-10-10,2021-01-05,2,0,2,3525 Resource Drive,Randallstown,MD,21133,39.364312,-76.78664,,CHADEMO
825,BGE-Broadneck HS,public,SHELL_RECHARGE,2024-10-10,2021-01-05,1,0,4,1265 Green Holly Dr,Annapolis,MD,21409,39.039931,-76.453536,,CHADEMO
826,BGE-Howard Community College,public,SHELL_RECHARGE,2024-10-10,2021-01-09,2,0,6,10901 Little Patuxent Pkwy,Columbia,MD,21044,39.21564,-76.883179,,CHADEMO
827,BGE-Essex Park and Ride,public,SHELL_RECHARGE,2024-10-10,2021-01-09,0,0,4,23 Eastern Blvd,Essex,MD,21221,39.303463,-76.485278,,J1772
828,Ramada Strasburg,public,Blink Network,2024-10-10,2021-01-09,0,0,1,21 Signal Knob Dr,Strasburg,VA,22657,39.00027084,-78.34512329,Free,J1772
829,BGE-Arbutus,public,SHELL_RECHARGE,2024-10-10,2021-01-13,2,0,4,855 Sulpher Spring Rd,Arbutus,MD,21227,39.241386,-76.710112,,CHADEMO
830,BGE-EC Courthouse,public,SHELL_RECHARGE,2024-10-10,2021-01-14,2,0,6,3600 Sarahs Lane,Ellicott City,MD,21043,39.269639,-76.796996,,CHADEMO
831,POTOMAC EDISON HAGERSTOWN CC,public,ChargePoint Network,2024-10-10,2021-01-22,0,0,2,20140 Student Circle,Hagerstown,MD,21742,39.632452,-77.666834,,J1772
