Fuel_Station_Id,Connector_Type_Code
432,TESLA
433,J1772
434,J1772
435,J1772
436,TESLA
437,TESLA
438,J1772
439,J1772
440,CHADEMO
440,J1772
440,J1772COMBO
441,J1772
442,J1772
443,J1772
444,J1772
445,J1772
446,J1772
447,J1772
448,TESLA
449,TESLA
450,J1772
451,J1772
452,J1772
453,J1772
454,J1772
455,J1772
456,J1772
457,J1772
458,J1772
459,J1772
460,J1772
461,J1772
462,J1772
463,J1772
464,J1772
465,CHADEMO
466,J1772
467,J1772
468,J1772
469,J1772
470,J1772
471,J1772
472,J1772
473,J1772
474,J1772
475,J1772
476,J1772
477,J1772
478,J1772
479,J1772
480,J1772
481,J1772
482,J1772
483,J1772
484,J1772
485,J1772
486,J1772
487,J1772
488,J1772
489,J1772
490,J1772
491,J1772
492,J1772
493,J1772
494,J1772
495,J1772
496,J1772
497,J1772
498,J1772
499,J1772
500,J1772
501,J1772
502,TESLA
503,J1772
504,J1772
505,J1772
506,NEMA515
507,NEMA515
508,J1772
508,NEMA515
509,CHADEMO
509,J1772
509,J1772COMBO
510,J1772
511,J1772
512,TESLA
513,J1772
514,J1772
515,J1772
516,J1772
517,J1772
518,J1772
519,J1772
520,J1772
521,J1772
522,J1772
523,CHADEMO
523,J1772COMBO
524,J1772
525,J1772
526,J1772
527,J1772
528,J1772
529,J1772
530,J1772
531,J1772
532,J1772COMBO
533,J1772
534,CHADEMO
534,J1772COMBO
535,TESLA
536,J1772
537,J1772
538,J1772
539,J1772
540,J1772
541,J1772
542,J1772
543,TESLA
544,TESLA
545,J1772
546,NEMA515
547,NEMA520
548,NEMA520
549,J1772
550,J1772
551,CHADEMO
551,J1772COMBO
552,NEMA515
553,J1772
554,J1772
555,J1772
556,J1772
557,J1772
558,J1772
559,J1772
560,J1772
561,J1772
562,J1772
563,TESLA
564,J1772
565,TESLA
566,J1772
567,J1772
568,TESLA
569,J1772
570,J1772
571,J1772
572,J1772
573,J1772
574,CHADEMO
575,J1772
576,TESLA
577,J1772
578,J1772
579,J1772
580,J1772
581,J1772
582,J1772
583,J1772
584,J1772
585,J1772
586,J1772
587,J1772
588,CHADEMO
588,J1772
588,J1772COMBO
589,J1772
590,J1772
591,J1772
592,J1772
593,J1772
594,J1772
595,J1772
596,J1772
597,J1772
598,J1772
599,J1772
600,J1772
601,TESLA
602,J1772
603,J1772
604,TESLA
605,J1772
606,J1772
607,J1772
608,J1772
609,J1772
610,J1772
611,J1772
612,J1772
613,J1772
614,J1772
615,J1772
616,J1772
617,J1772
618,J1772
619,J1772
620,J1772
621,CHADEMO
621,J1772COMBO
622,J1772
623,J1772
624,CHADEMO
624,J1772COMBO
625,J1772
626,CHADEMO
626,J1772
626,J1772COMBO
627,J1772
628,CHADEMO
628,J1772
628,J1772COMBO
629,CHADEMO
629,J1772COMBO
630,J1772
631,CHADEMO
631,J1772COMBO
632,J1772
633,J1772
634,J1772
635,J1772
636,J1772
637,CHADEMO
637,J1772
637,J1772COMBO
638,J1772
639,J1772
640,J1772
641,J1772
642,CHADEMO
642,J1772
642,J1772COMBO
643,J1772
644,J1772
645,J1772
646,J1772
647,J1772
648,CHADEMO
648,J1772
648,J1772COMBO
649,J1772
650,J1772
651,J1772
652,J1772
653,J1772
654,J1772
655,J1772
656,J1772
657,J1772
658,J1772
659,J1772
660,J1772
661,J1772
662,J1772
663,J1772
664,J1772
665,J1772
666,J1772
667,J1772
668,J1772
669,J1772
670,J1772
671,J1772
672,J1772
673,J1772
674,J1772
675,J1772
676,J1772
677,J1772
678,J1772
679,J1772
680,J1772
681,J1772
682,J1772
683,J1772
684,J1772
685,J1772
686,J1772
687,J1772
688,J1772
689,J1772
690,J1772
691,J1772
692,J1772
693,J1772
694,J1772
695,J1772
696,J1772
697,J1772
698,J1772
699,J1772
700,J1772
701,J1772
702,J1772
703,J1772
704,J1772
705,J1772
706,J1772
707,J1772
708,J1772
709,J1772
710,J1772
711,J1772
712,J1772
713,J1772
714,J1772
715,J1772
716,J1772
717,J1772
718,J1772
719,J1772
720,J1772
721,J1772
722,J1772
723,J1772
724,J1772
725,J1772
726,J1772
727,J1772
728,J1772
729,J1772
730,J1772
731,J1772
732,J1772
733,J1772
734,J1772
735,CHADEMO
735,J1772COMBO
736,J1772
737,J1772
738,J1772
739,J1772
740,J1772
741,J1772
742,J1772
743,J1772
744,J1772
745,J1772
746,J1772
747,TESLA
748,J1772
749,J1772
750,NEMA1450
751,J1772
752,TESLA
